step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,mac_iters,visc_iters,nodal_iters,umax,max_dudt,rms_dudt
4100,21.3542,0.00520833,0.0401718,5.21716e-12,3.00947,9,3,6,0.923931,0.348478,0.00671139
4120,21.4583,0.00520833,0.040222,5.64082e-12,3.00292,9,3,6,0.923968,0.688459,0.0103033
4140,21.5625,0.00520833,0.0402714,5.21183e-12,2.97727,9,3,6,0.924005,1.03691,0.0152646
4160,21.6667,0.00520833,0.0403202,5.21538e-12,3.00938,9,3,6,0.924042,0.348419,0.00658856
4180,21.7708,0.00520833,0.040368,5.60352e-12,3.00284,9,3,6,0.924078,0.688332,0.0102254
4200,21.875,0.00520833,0.040415,5.2065e-12,2.9772,9,3,6,0.924113,1.03673,0.0152125
4220,21.9792,0.00520833,0.0404614,5.2065e-12,3.0093,9,3,6,0.924148,0.348363,0.00647613
4240,22.0833,0.00520833,0.0405068,5.59019e-12,3.00276,9,3,6,0.924182,0.688212,0.0101548
4260,22.1875,0.00520833,0.0405515,5.1994e-12,2.97712,9,3,6,0.924215,1.03655,0.0151655
4280,22.2917,0.00520833,0.0405956,5.20117e-12,3.00922,9,3,6,0.924249,0.348309,0.00637358
4300,22.3958,0.00520833,0.0406388,5.57421e-12,3.00268,9,3,6,0.924281,0.688096,0.010091
4320,22.5,0.00520833,0.0406812,5.19584e-12,2.97705,9,3,6,0.924313,1.03638,0.0151231
4340,22.6042,0.00520833,0.0407231,5.1994e-12,3.00914,9,3,6,0.924345,0.348258,0.00628004
4360,22.7083,0.00520833,0.0407641,5.56089e-12,3.0026,9,3,6,0.924376,0.687986,0.0100333
4380,22.8125,0.00520833,0.0408043,5.19584e-12,2.97698,9,3,6,0.924406,1.03622,0.0150848
4400,22.9167,0.00520833,0.0408442,5.1994e-12,3.00907,9,3,6,0.924437,0.348209,0.00619495
4420,23.0208,0.00520833,0.0408831,5.56177e-12,3.00253,9,3,6,0.924466,0.687882,0.00998123
4440,23.125,0.00520833,0.0409213,5.18519e-12,2.97692,9,3,6,0.924495,1.03607,0.0150503
4460,23.2292,0.00520833,0.0409591,5.20117e-12,3.009,9,3,6,0.924525,0.348163,0.00611771
4480,23.3333,0.00520833,0.040996,5.56089e-12,3.00247,9,3,6,0.924554,0.687782,0.0099343
4500,23.4375,0.00520833,0.0410322,5.18874e-12,2.97685,9,3,6,0.924584,1.03592,0.0150193
4520,23.5417,0.00520833,0.0410681,5.19407e-12,3.00893,9,3,6,0.924613,0.348119,0.00604768
4540,23.6458,0.00520833,0.0411031,5.53957e-12,3.0024,9,3,6,0.924642,0.687687,0.00989203
4560,23.75,0.00520833,0.0411374,5.17986e-12,2.97679,9,3,6,0.92467,1.03579,0.0149913
4580,23.8542,0.00520833,0.0411715,5.18874e-12,3.00887,9,3,6,0.924698,0.348076,0.00598432
4600,23.9583,0.00520833,0.0412046,5.53246e-12,3.00234,9,3,6,0.924725,0.687596,0.00985402
4620,24.0625,0.00520833,0.0412372,5.17808e-12,2.97674,9,3,6,0.924753,1.03565,0.0149661
4640,24.1667,0.00520833,0.0412695,5.18874e-12,3.00881,9,3,6,0.92478,0.348035,0.00592717
4660,24.2708,0.00520833,0.0413009,5.51648e-12,3.00228,9,3,6,0.924806,0.687509,0.00981991
4680,24.375,0.00520833,0.0413318,5.17808e-12,2.97668,9,3,6,0.924832,1.03553,0.0149436
4700,24.4792,0.00520833,0.0413624,5.18341e-12,3.00875,9,3,6,0.924859,0.347996,0.00587572
4720,24.5833,0.00520833,0.0413922,5.50582e-12,3.00222,9,3,6,0.924884,0.687425,0.00978934
4740,24.6875,0.00520833,0.0414214,5.1692e-12,2.97663,9,3,6,0.92491,1.0354,0.0149233
4760,24.7917,0.00520833,0.0414504,5.17808e-12,3.0087,9,3,6,0.924935,0.347959,0.00582951
4780,24.8958,0.00520833,0.0414787,5.48717e-12,3.00217,9,3,6,0.92496,0.687344,0.009762
4800,25,0.00520833,0.0415064,5.16742e-12,2.97658,9,3,6,0.924984,1.03529,0.0149052
4820,25.1042,0.00520833,0.0415338,5.17275e-12,3.00865,9,3,6,0.925009,0.347923,0.00578813
4840,25.2083,0.00520833,0.0415606,5.48717e-12,3.00212,9,3,6,0.925032,0.687266,0.00973759
4860,25.3125,0.00520833,0.0415868,5.16209e-12,2.97653,9,3,6,0.925056,1.03517,0.014889
4880,25.4167,0.00520833,0.0416129,5.1692e-12,3.00859,9,3,6,0.92508,0.347888,0.00575119
4900,25.5208,0.00520833,0.0416382,5.46763e-12,3.00207,9,3,6,0.925103,0.687191,0.00971587
4920,25.625,0.00520833,0.041663,5.15854e-12,2.97649,9,3,6,0.925125,1.03506,0.0148745
4940,25.7292,0.00520833,0.0416877,5.1692e-12,3.00855,9,3,6,0.925148,0.347854,0.00571832
4960,25.8333,0.00520833,0.0417117,5.47029e-12,3.00202,9,3,6,0.92517,0.687119,0.00969657
4980,25.9375,0.00520833,0.0417352,5.15854e-12,2.97644,9,3,6,0.925192,1.03496,0.0148616
5000,26.0417,0.00520833,0.0417585,5.16742e-12,3.0085,9,3,6,0.925214,0.347821,0.00568915
